Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.424500667,Model 3
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.397682984,Model 3
K562,Gene expression analysis,Variance stabilization,1,Inf,0,1.00E+05,step,0.386778132,Model 3
K562,Gene expression analysis,Variance stabilization,2,1,7,1.00E+05,step,0.386778132,Model 3
K562,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.393161756,Model 3
K562,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.393161756,Model 3
K562,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.393520446,Model 3
K562,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.393312754,Model 3
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.424063593,Model 3
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.405400867,Model 3
K562,Gene expression analysis,Variance stabilization,1,Inf,0,1000,step,0.387739778,Model 3
K562,Gene expression analysis,Variance stabilization,2,1,7,1000,step,0.387832567,Model 3
K562,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1000,step,0.394048202,Model 3
K562,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1000,step,0.399821452,Model 3
K562,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1000,step,0.405682085,Model 3
K562,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1000,step,0.407817611,Model 3
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.414673192,Model 3
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.409141979,Model 3
K562-GM12878,Gene expression analysis,Variance stabilization,1,Inf,0,10000,step,0.391944055,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,2,1,7,10000,step,0.391944055,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.002313162,300,1994,10000,step,0.392483367,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,10000,step,0.393142739,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,10000,step,0.39505941,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,10000,step,0.402263273,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.411330031,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.418049709,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1,Inf,0,1.00E+05,step,0.30526255,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,2,1,7,1.00E+05,step,0.30526255,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.307837538,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.307837538,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.312028068,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.314835754,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.411072388,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.434754152,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1,Inf,0,1000,step,0.414087083,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,2,1,7,1000,step,0.414101538,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1000,step,0.411462009,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1000,step,0.411290258,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1000,step,0.411083259,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1000,step,0.41157631,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.411293262,Model 4
K562-GM12878,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.402932566,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1,Inf,0,10000,step,0.348909688,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,2,1,7,10000,step,0.348909688,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,10000,step,0.349895289,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,10000,step,0.351668598,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,10000,step,0.356342665,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,10000,step,0.366447412,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.384008314,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.381304299,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1,Inf,0,1.00E+05,step,0.33860704,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,2,1,7,1.00E+05,step,0.33860704,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.338979073,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.338979073,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.339076467,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.338966666,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.377406611,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.392039948,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1,Inf,0,1000,step,0.369818126,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,2,1,7,1000,step,0.369837272,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1000,step,0.374388554,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1000,step,0.377226992,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1000,step,0.379916724,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1000,step,0.380787162,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.38345231,Model 4
K562-H1-hESC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.375964123,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1,Inf,0,10000,step,0.324130311,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,2,1,7,10000,step,0.324130311,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,10000,step,0.324612738,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,10000,step,0.324357578,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,10000,step,0.328286391,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,10000,step,0.332356939,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.340272778,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.344476987,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1,Inf,0,1.00E+05,step,0.322690348,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,2,1,7,1.00E+05,step,0.322690348,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.322950747,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.322950747,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.322920931,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.322371354,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.349041845,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.369642137,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1,Inf,0,1000,step,0.346213081,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,2,1,7,1000,step,0.346226158,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1000,step,0.346312287,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1000,step,0.347191034,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1000,step,0.346424139,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1000,step,0.346606399,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.343959169,Model 4
K562-HUVEC,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.330156704,Model 4
K562,Gene expression analysis,Variance stabilization,1,Inf,0,10000,step,0.404034723,Model 5
K562,Gene expression analysis,Variance stabilization,2,1,7,10000,step,0.404034723,Model 5
K562,Gene expression analysis,Variance stabilization,1.002313162,300,1994,10000,step,0.404169734,Model 5
K562,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,10000,step,0.402873988,Model 5
K562,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,10000,step,0.404081877,Model 5
K562,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,10000,step,0.407956373,Model 5
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.413434919,Model 5
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.413459357,Model 5
K562,Gene expression analysis,Variance stabilization,1,Inf,0,1.00E+05,step,0.400521298,Model 5
K562,Gene expression analysis,Variance stabilization,2,1,7,1.00E+05,step,0.400521298,Model 5
K562,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.401161585,Model 5
K562,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.401161585,Model 5
K562,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.401477962,Model 5
K562,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.403656067,Model 5
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.419443309,Model 5
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.439534821,Model 5
K562,Gene expression analysis,Variance stabilization,1,Inf,0,1000,step,0.407018036,Model 5
K562,Gene expression analysis,Variance stabilization,2,1,7,1000,step,0.407032849,Model 5
K562,Gene expression analysis,Variance stabilization,1.002313162,300,1994,1000,step,0.406315438,Model 5
K562,Gene expression analysis,Variance stabilization,1.000693387,1000,6644,1000,step,0.409708026,Model 5
K562,Gene expression analysis,Variance stabilization,1.000231076,3000,19932,1000,step,0.412084766,Model 5
K562,Gene expression analysis,Variance stabilization,1.000069317,10000,66439,1000,step,0.41302602,Model 5
K562,Gene expression analysis,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.412812234,Model 5
K562,Gene expression analysis,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.409199601,Model 5
