Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1,Inf,0,10000,step,0.297632489,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,2,1,7,10000,step,0.297632489,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.297632489,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.29724443,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.293128907,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.286608213,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.27738367,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.271231835,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.232024396,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.242124262,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.33905776,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,2,1,7,1.00E+05,step,0.33905776,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.330059867,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.313708076,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.298296938,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.289383634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.277559227,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.271271729,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.232075295,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.242144225,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1,Inf,0,1000,step,0.272117297,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,2,1,7,1000,step,0.272117297,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.275929093,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.277843483,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.280556401,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.282933461,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.27793895,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.271204729,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.231832325,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.242040621,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1,Inf,0,10000,step,0.328241418,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,2,1,7,10000,step,0.328241418,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.328241418,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.328085993,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.321571973,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.313811683,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.302474397,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.305445775,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.360452681,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.354284896,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.313602563,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,2,1,7,1.00E+05,step,0.313602563,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.313602563,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.313602563,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.313602563,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.313752882,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.299422325,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.306123998,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.360549761,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.354460631,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1,Inf,0,1000,step,0.33979012,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,2,1,7,1000,step,0.33979012,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.34021929,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.323191827,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.316601111,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.313806978,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.302319445,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.305409954,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.360453887,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.354285536,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1,Inf,0,10000,step,0.221287195,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,2,1,7,10000,step,0.221287195,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.221287214,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.228960546,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.230136189,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.229348169,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.231523054,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.217696659,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.139048488,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.122103235,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.185090503,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,2,1,7,1.00E+05,step,0.185090503,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.195467996,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.214063714,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.229322887,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.23796596,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.233355084,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.219323329,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.139281246,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.122431307,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1,Inf,0,1000,step,0.205078685,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,2,1,7,1000,step,0.205078685,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.223063137,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.228934399,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.232808735,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.230624351,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.228027534,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.216194215,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.138751238,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.121917687,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1,Inf,0,10000,step,0.32945313,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,2,1,7,10000,step,0.32945313,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.329453076,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.288578982,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.281038184,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.269512412,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.269020242,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.314805813,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.312232744,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.290798339,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.279425738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,2,1,7,1.00E+05,step,0.279425738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.279425738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.279425738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.279425738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.279268859,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.270914278,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.315657221,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.312639023,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.290848176,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1,Inf,0,1000,step,0.290644453,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,2,1,7,1000,step,0.290644453,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.279920508,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.281087032,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.279198221,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.269330738,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.268908767,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.314648565,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.312146797,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.290727009,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1,Inf,0,10000,step,0.204755936,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,2,1,7,10000,step,0.204755936,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.204755936,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.20449288,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.20543218,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.204901339,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.196773615,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.194795168,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.192498456,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.198531786,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.226518425,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,2,1,7,1.00E+05,step,0.226518425,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.228231702,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.224151057,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.213716702,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.205851718,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.193746485,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.195422021,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.192739277,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.198640966,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1,Inf,0,1000,step,0.167862964,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,2,1,7,1000,step,0.167862964,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.175198133,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.1865286,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.195261806,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.201500516,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.197321095,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.194449385,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.192370491,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.198460675,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.2342919,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.025966,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.307582,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.2178269,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.3133881,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,Fold enrichment,NA,NA,NA,NA,NA,0.1019632,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,P-value,NA,NA,NA,NA,NA,0.233213234,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,P-value,NA,NA,NA,NA,NA,0.104589291,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,P-value,NA,NA,NA,NA,NA,0.227737895,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,P-value,NA,NA,NA,NA,NA,0.044226153,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,P-value,NA,NA,NA,NA,NA,0.215483754,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,P-value,NA,NA,NA,NA,NA,0.185894038,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.37411039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.15174956,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.36470415,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.09913208,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-K562,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.40105179,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC-K562,Differential expression,log(P-value+1),NA,NA,NA,NA,NA,0.15940041,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.42322522,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-HUVEC,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.29224555,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-K562,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.35028134,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1hESC-HUVEC,Differential expression,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.24616156,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
